"source_domain","target_domain","endpoint","endpoint_label","n_lowdata_rows","n_values_used","mean_delta_cindex_lowdata","median_delta_cindex_lowdata","sd_delta_cindex_lowdata","min_delta_cindex_lowdata","max_delta_cindex_lowdata","mean_transfer_cindex_lowdata","mean_target_only_cindex_lowdata","mean_alpha_lowdata","D_physical","distance_rank","is_nearest_source","is_farthest_source","transfer_gain_sign","arrow_direction","edge_width_recommended","edge_opacity_recommended"
"HCC","Gallbladder","event_css","Cancer-specific survival",4,"100;200;300;500",0.0156455825141792,0.0106343053075214,0.0120362203567955,0.00799105860153219,0.0333226608401418,0.707875082396936,0.692229499882756,0.61525,0.447403577131581,1,TRUE,FALSE,"positive","HCC -> Gallbladder",6.694,0.661
"ICC","Gallbladder","event_css","Cancer-specific survival",4,"100;200;300;500",0.0128863655917234,0.00854440129985145,0.0100393417770237,0.00672927413745984,0.027727385629731,0.705115865474479,0.692229499882756,0.54025,0.452171522917484,2,FALSE,FALSE,"positive","ICC -> Gallbladder",5.866,0.588
"Panc_Head","Gallbladder","event_css","Cancer-specific survival",4,"100;200;300;500",0.0127403898990151,0.00864771377197845,0.00955390659608047,0.00679401066367876,0.0268721213884247,0.704969889781771,0.692229499882756,0.52075,0.504937694252369,3,FALSE,FALSE,"positive","Panc_Head -> Gallbladder",5.822,0.584
"Panc_Body","Gallbladder","event_css","Cancer-specific survival",4,"100;200;300;500",0.0165672843482767,0.0114907880405572,0.0126335993935347,0.00815607916249544,0.0351314821494971,0.708796784231033,0.692229499882756,0.65475,0.690495928056338,4,FALSE,FALSE,"positive","Panc_Body -> Gallbladder",6.97,0.685
"Panc_Tail","Gallbladder","event_css","Cancer-specific survival",4,"100;200;300;500",0.0205867414646261,0.0150431991271182,0.0151717237286118,0.00974601055699643,0.0425145570472715,0.712816241347382,0.692229499882756,0.80275,1.0736764713299,5,FALSE,TRUE,"positive","Panc_Tail -> Gallbladder",8.176,0.79
"ICC","HCC","event_css","Cancer-specific survival",4,"100;200;300;500",0.0260658046510036,0.0241987472975264,0.0157155652378711,0.00958655563313307,0.0462791683758288,0.681236253947738,0.655170449296734,0.82075,0.226766139971701,1,TRUE,FALSE,"positive","ICC -> HCC",9.82,0.934
"Gallbladder","HCC","event_css","Cancer-specific survival",4,"100;200;300;500",0.0269881298161935,0.0251937841735294,0.0156693897076353,0.0104975638967158,0.0470673870209996,0.682158579112928,0.655170449296734,0.80775,0.447403577131581,2,FALSE,FALSE,"positive","Gallbladder -> HCC",10,0.95
"Panc_Head","HCC","event_css","Cancer-specific survival",4,"100;200;300;500",0.0151142078173075,0.0143773470151999,0.0101901493207669,0.00386620164302358,0.0278359355958067,0.670284657114042,0.655170449296734,0.4355,0.612844660119338,3,FALSE,FALSE,"positive","Panc_Head -> HCC",6.534,0.647
"Panc_Body","HCC","event_css","Cancer-specific survival",4,"100;200;300;500",0.0229704410718739,0.0214782089398245,0.0145283136264637,0.00750324632202914,0.0414221000858175,0.678140890368608,0.655170449296734,0.655,0.676896449050609,4,FALSE,FALSE,"positive","Panc_Body -> HCC",8.891,0.853
"Panc_Tail","HCC","event_css","Cancer-specific survival",4,"100;200;300;500",0.0254117269114209,0.0237864970061255,0.015458191731145,0.00902191445499101,0.0450519991784416,0.680582176208155,0.655170449296734,0.72325,0.987006776074949,5,FALSE,TRUE,"positive","Panc_Tail -> HCC",9.624,0.917
"HCC","ICC","event_css","Cancer-specific survival",4,"100;200;300;500",0.024952490492582,0.0214956965361057,0.0183875749732375,0.00732211982787745,0.0494964490702391,0.651954922782746,0.627002432290164,0.73325,0.226766139971701,1,TRUE,FALSE,"positive","HCC -> ICC",9.486,0.905
"Gallbladder","ICC","event_css","Cancer-specific survival",4,"100;200;300;500",0.0190874491460371,0.0158083824996366,0.0168742824263208,0.00294932838841785,0.0417837031964575,0.646089881436201,0.627002432290164,0.51475,0.452171522917484,2,FALSE,FALSE,"positive","Gallbladder -> ICC",7.727,0.751
"Panc_Head","ICC","event_css","Cancer-specific survival",4,"100;200;300;500",0.0185683151000305,0.0157473302689399,0.0148264991219002,0.00414451560925163,0.0386340842529906,0.645570747390194,0.627002432290164,0.53525,0.462214288663647,3,FALSE,FALSE,"positive","Panc_Head -> ICC",7.571,0.737
"Panc_Body","ICC","event_css","Cancer-specific survival",4,"100;200;300;500",0.0246870298045943,0.0213001980772625,0.0179604480253125,0.00741460688544653,0.0487331161784056,0.651689462094758,0.627002432290164,0.73675,0.470579364911125,4,FALSE,FALSE,"positive","Panc_Body -> ICC",9.406,0.898
"Panc_Tail","ICC","event_css","Cancer-specific survival",4,"100;200;300;500",0.0215269225594047,0.0182440140481673,0.017553439784709,0.00466057842815264,0.0449590837131315,0.648529354849568,0.627002432290164,0.63325,0.791272310087412,5,FALSE,TRUE,"positive","Panc_Tail -> ICC",8.458,0.815
"Panc_Head","Panc_Body","event_css","Cancer-specific survival",4,"100;200;300;500",0.0285866714872145,0.0240429538730968,0.0173418069718592,0.0132413480849747,0.0530194301176895,0.658690336283412,0.630103664796198,0.86275,0.317787346374979,1,TRUE,FALSE,"positive","Panc_Head -> Panc_Body",10,0.95
"Panc_Tail","Panc_Body","event_css","Cancer-specific survival",4,"100;200;300;500",0.026270731721375,0.0216562141254971,0.0174035889664995,0.0109134612829021,0.0508570373516038,0.656374396517573,0.630103664796198,0.776,0.416791188699131,2,FALSE,FALSE,"positive","Panc_Tail -> Panc_Body",9.882,0.94
"ICC","Panc_Body","event_css","Cancer-specific survival",4,"100;200;300;500",0.0233622035264788,0.0191290255051958,0.0167851618384947,0.0082517598494117,0.046939003246112,0.653465868322677,0.630103664796198,0.7135,0.470579364911125,3,FALSE,FALSE,"positive","ICC -> Panc_Body",9.009,0.863
"HCC","Panc_Body","event_css","Cancer-specific survival",4,"100;200;300;500",0.0245822684437864,0.0200317726487085,0.0172871363430113,0.00925689082736655,0.0490086376503622,0.654685933239984,0.630103664796198,0.7535,0.676896449050609,4,FALSE,FALSE,"positive","HCC -> Panc_Body",9.375,0.895
"Gallbladder","Panc_Body","event_css","Cancer-specific survival",4,"100;200;300;500",0.0227817607719214,0.0181044174167133,0.0174321699825997,0.00751594134472202,0.0474022669095369,0.652885425568119,0.630103664796198,0.70475,0.690495928056338,5,FALSE,TRUE,"positive","Gallbladder -> Panc_Body",8.835,0.848
